Date,Open,High,Low,Close,Adj Close,Volume
2021-02-25,330.000000,335.000000,302.600006,303.059998,303.059998,2428200
2021-02-26,300.000000,311.829987,295.339996,307.380005,307.380005,2595700
2021-03-01,313.000000,321.779999,307.399994,321.279999,321.279999,1539500
2021-03-02,320.070007,326.149994,316.339996,322.739990,322.739990,1483000
2021-03-03,322.730011,323.040009,299.890015,300.239990,300.239990,1636600
2021-03-04,297.480011,301.279999,278.230011,285.010010,285.010010,2591400
2021-03-05,290.000000,291.369995,261.600006,274.980011,274.980011,2599400
2021-03-08,275.000000,276.589996,254.919998,258.329987,258.329987,2108000
2021-03-09,274.600006,279.640015,268.600006,273.579987,273.579987,2424000
2021-03-10,282.730011,284.019989,269.399994,270.190002,270.190002,1319500
2021-03-11,276.010010,289.399994,273.070007,286.959991,286.959991,1854800
2021-03-12,280.059998,281.869995,273.000000,279.890015,279.890015,963500
2021-03-15,282.989990,286.380005,275.670013,285.459991,285.459991,866800
2021-03-16,289.000000,292.660004,280.269989,284.690002,284.690002,891800
2021-03-17,277.399994,287.459991,272.220001,283.350006,283.350006,844700
2021-03-18,278.450012,279.920013,266.144989,271.730011,271.730011,1466800
2021-03-19,269.989990,275.200012,267.459991,272.109985,272.109985,1327100
2021-03-22,276.000000,278.570007,273.214996,275.470001,275.470001,606500
2021-03-23,274.000000,275.630005,266.549988,267.299988,267.299988,802700
2021-03-24,270.869995,271.660004,258.059998,258.679993,258.679993,1053100
2021-03-25,255.000000,258.970001,250.100006,254.630005,254.630005,1657700
2021-03-26,258.510010,263.920013,251.000000,261.309998,261.309998,1267700
2021-03-29,261.000000,261.605011,250.380005,252.589996,252.589996,1078700
2021-03-30,253.639999,261.440002,249.000000,257.690002,257.690002,1496000
2021-03-31,266.279999,271.869995,263.899994,267.950012,267.950012,1194500
2021-04-01,271.190002,280.000000,270.529999,273.100006,273.100006,1183800
2021-04-05,279.559998,279.989990,272.089996,273.299988,273.299988,949300
2021-04-06,279.989990,288.649994,278.760010,282.339996,282.339996,1280500
2021-04-07,281.459991,282.880005,276.510010,280.149994,280.149994,690200
2021-04-08,285.170013,285.989990,279.500000,280.940002,280.940002,679900
2021-04-09,279.679993,279.730011,273.350006,279.200012,279.200012,1171000
2021-04-12,277.380005,278.820007,271.260010,276.910004,276.910004,622100
2021-04-13,279.920013,294.220001,278.500000,293.119995,293.119995,1154300
2021-04-14,294.000000,294.399994,285.149994,287.600006,287.600006,815600
2021-04-15,291.279999,300.940002,290.299988,299.739990,299.739990,1216600
2021-04-16,299.739990,299.739990,290.399994,292.019989,292.019989,777800
2021-04-19,287.000000,291.660004,278.089996,280.369995,280.369995,1398400
2021-04-20,281.000000,281.000000,268.059998,271.200012,271.200012,1262200
2021-04-21,267.260010,267.265015,260.609985,261.709991,261.709991,1828500
2021-04-22,266.019989,271.630005,264.609985,265.160004,265.160004,1482300
2021-04-23,268.000000,286.290009,267.859985,284.109985,284.109985,2239000
2021-04-26,278.119995,298.730011,277.329987,298.019989,298.019989,2239600
2021-04-27,297.880005,299.484985,289.640015,292.920013,292.920013,1239400
2021-04-28,269.700012,270.160004,255.160004,256.839996,256.839996,7772300
2021-04-29,262.839996,265.880005,260.000000,262.149994,262.149994,3330800
2021-04-30,260.000000,264.399994,251.960007,252.119995,252.119995,2187600
2021-05-03,255.419998,258.600006,246.899994,247.690002,247.690002,2305600
2021-05-04,244.399994,244.800003,236.345001,240.119995,240.119995,2562400
2021-05-05,246.000000,246.339996,236.671005,239.500000,239.500000,1549900
2021-05-06,235.500000,237.729996,230.300003,237.039993,237.039993,1770100
2021-05-07,242.360001,246.500000,237.350006,239.410004,239.410004,1312600
2021-05-10,235.419998,237.470001,227.630005,228.210007,228.210007,1857300
2021-05-11,221.729996,230.940002,221.000000,228.009995,228.009995,2509400
2021-05-12,224.770004,232.009995,223.399994,225.600006,225.600006,1322100
2021-05-13,229.000000,231.410004,214.154999,217.070007,217.070007,1635700
2021-05-14,219.050003,223.850006,216.800003,223.589996,223.589996,2461700
2021-05-17,222.960007,223.699997,215.940002,223.330002,223.330002,1352400
2021-05-18,225.639999,230.380005,220.500000,220.990005,220.990005,1292600
2021-05-19,212.679993,220.880005,211.100006,220.309998,220.309998,1831800
2021-05-20,225.460007,231.190002,223.514999,228.679993,228.679993,1233400
2021-05-21,229.949997,231.559998,225.397003,229.139999,229.139999,1037500
2021-05-24,229.660004,235.615005,228.330002,234.059998,234.059998,980900
2021-05-25,237.009995,239.095001,233.250000,236.759995,236.759995,1126600
2021-05-26,237.899994,239.470001,231.529999,238.389999,238.389999,1364500
2021-05-27,238.399994,242.865005,233.964996,240.259995,240.259995,1002500
2021-05-28,242.029999,246.300003,241.110001,241.570007,241.570007,920700
2021-06-01,243.500000,246.330002,239.210007,241.729996,241.729996,1037300
2021-06-02,243.550003,243.550003,238.389999,239.729996,239.729996,1088900
2021-06-03,236.119995,238.449997,231.524994,232.190002,232.190002,1244800
2021-06-04,234.539993,238.110001,232.589996,236.169998,236.169998,946600
2021-06-07,235.869995,244.000000,235.869995,242.660004,242.660004,1273500
2021-06-08,245.220001,245.949997,240.229004,242.509995,242.509995,1167800
2021-06-09,243.009995,245.733994,237.548996,237.699997,237.699997,1024100
2021-06-10,238.679993,247.460007,237.119995,247.190002,247.190002,1500200
2021-06-11,248.000000,251.820007,240.800003,243.660004,243.660004,1577000
2021-06-14,245.000000,253.410995,243.970001,251.509995,251.509995,1250500
2021-06-15,252.479996,252.699997,241.949997,242.759995,242.759995,1350100
2021-06-16,244.110001,248.210007,236.460007,242.779999,242.779999,1367500
2021-06-17,238.830002,249.100006,238.500000,247.110001,247.110001,1237400
2021-06-18,246.110001,249.360001,244.330002,247.639999,247.639999,1348300
2021-06-21,247.500000,248.000000,242.039993,245.600006,245.600006,826100
2021-06-22,246.919998,254.350006,244.600006,253.639999,253.639999,1436700
2021-06-23,252.570007,257.690002,252.559998,256.700012,256.700012,951500
2021-06-24,260.000000,265.585999,259.600006,264.160004,264.160004,2251500
2021-06-25,266.079987,268.290009,261.859985,266.380005,266.380005,1562100
2021-06-28,268.000000,273.600006,265.779999,271.559998,271.559998,1248000
2021-06-29,271.010010,274.119995,265.089996,272.859985,272.859985,875000
2021-06-30,274.000000,280.540009,269.500000,275.589996,275.589996,1572600
2021-07-01,273.500000,275.250000,266.410004,268.630005,268.630005,835000
2021-07-02,269.760010,272.059998,267.291992,267.829987,267.829987,480900
